index	filename	word	translation	context	repetition	position	stop	poa	voice	affric	glott	pharlzd	labialzd	palatlzd	folVowel	prevVowel	totdur	folVowDur	prevVowDur	fric	postfric	closdur	tstart	tend	reltime	pfst	cvst	modst	comment
48	1959_m_Murtuzov_OM	bot'i	слепой, ботIи	carrier	--undefined--	medial	t'	dental	singleton	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	i	o	0.14164093165146596	0.20270116418947026	0.11707251659237983	0.03775962226636409	0.07109687951250976	0.032784429872592113	40.12124847646837	40.26288940811983	40.15403290634096	40.19179252860732	--undefined--	40.26288940811983	
49	1959_m_Murtuzov_OM	buk:uja	упадет, буккуя	iso	1	initial	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u		0.02809414955448375	0.10151352705684502	--undefined--	0.009739305178889879	0.01835484437559387	0	43.575568794176775	43.60366294373126	43.575568794176775	43.585308099355665	--undefined--	43.60366294373126	
50	1959_m_Murtuzov_OM	buk:uja	упадет, буккуя	iso	1	medial	k:	velar	geminate	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u)	u	0.21062588957435935	0.09150589345840388	0.10151352705684502	0.05434293472062279	0.049043535639860636	0.10723941921387592	43.7051764707881	43.91580236036246	43.81241589000198	43.8667588247226	--undefined--	43.91580236036246	check right border
51	1959_m_Murtuzov_OM	buk:uja	упадет, буккуя	iso	2	initial	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u		0.06616221933811062	0.08969544656265782	--undefined--	0.006269795862827721	0	0.0598924234752829	45.379651624976745	45.445813844314856	45.43954404845203	--undefined--	--undefined--	45.445813844314856	
52	1959_m_Murtuzov_OM	buk:uja	упадет, буккуя	iso	2	medial	k:	velar	geminate	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u)	u	0.19980748787084224	0.09376568176235622	0.08969544656265782	0.030054446024323056	0.08646812472539267	0.08328491712112651	45.53550929087751	45.735316778748356	45.61879420799864	45.64884865402296	--undefined--	45.735316778748356	check right border
53	1959_m_Murtuzov_OM	buk:uja	упадет, буккуя	iso	3	initial	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u		0.09278402991849788	0.09150293768750828	--undefined--	0.00469443008515924	0	0.08808959983333864	47.262557415305125	47.35534144522362	47.35064701513846	--undefined--	--undefined--	47.35534144522362	
54	1959_m_Murtuzov_OM	buk:uja	упадет, буккуя	iso	3	medial	k:	velar	geminate	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u)	u	0.19341770843634976	0.08674990659567072	0.09150293768750828	0.055557445005987915	0.06012029983167366	0.07773996359868818	47.44684438291113	47.64026209134748	47.52458434650982	47.58014179151581	--undefined--	47.64026209134748	check right border
55	1959_m_Murtuzov_OM	buk:uja	упадет, буккуя	carrier	--undefined--	initial	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u		0.07330311795249855	0.07516641162588655	--undefined--	0.007805224831315627	0	0.06549789312118293	49.51960251601808	49.59290563397058	49.585100409139265	--undefined--	--undefined--	49.59290563397058	
56	1959_m_Murtuzov_OM	buk:uja	упадет, буккуя	carrier	--undefined--	medial	k:	velar	geminate	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u)	u	0.15160683022848076	0.08153644650943193	0.07516641162588655	0.049660457270398695	0.042705048541073154	0.05924132441700891	49.66807204559647	49.81967887582495	49.727313370013476	49.776973827283875	--undefined--	49.81967887582495	check right border
57	1959_m_Murtuzov_OM	wots:i	брат, воцци	iso	1	medial	ts:	dental	geminate	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	i	o	0.265571227939148	0.2533772708162658	0.13061401626995206	0.20013850726003568	0	0.06543272067911232	54.01468496312402	54.28025619106317	54.08011768380313	--undefined--	--undefined--	54.28025619106317	
58	1959_m_Murtuzov_OM	wots:i	брат, воцци	iso	2	medial	ts:	dental	geminate	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	i	o	0.2709658566914115	0.2627875856010604	0.13505906940598322	0.1961538201502151	0	0.07481203654119639	56.37108554535603	56.64205140204744	56.44589758189723	--undefined--	--undefined--	56.64205140204744	
59	1959_m_Murtuzov_OM	wots:i	брат, воцци	iso	3	medial	ts:	dental	geminate	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	i	o	0.2889588413005626	0.2357308741075954	0.12676559384355812	0.20405272748801906	0	0.08490611381254354	58.51694259505043	58.80590143635099	58.601848708862974	--undefined--	--undefined--	58.80590143635099	
60	1959_m_Murtuzov_OM	wots:i	брат, воцци	carrier	--undefined--	medial	ts:	dental	geminate	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	i	o	0.2291363193111664	0.23317844140282062	0.10596861256279055	0.17183248619318192	0	0.05730383311798448	61.032473170971045	61.26160949028221	61.08977700408903	--undefined--	--undefined--	61.26160949028221	
61	1959_m_Murtuzov_OM	ɡedu	кошка, геду	iso	1	initial	g	velar	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	e		0.07138425644586732	0.17393388842272373	--undefined--	0.015146299073109049	0	0.056237957372758274	64.0605947252632	64.13197898170907	64.11683268263596	--undefined--	--undefined--	64.13197898170907	
62	1959_m_Murtuzov_OM	ɡedu	кошка, геду	iso	1	medial	d	dental	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u	e	0.11173785310212736	0.2747973948869884	0.17393388842272373	0.020971798716615808	0	0.09076605438551155	64.30591287013179	64.41765072323392	64.3966789245173	--undefined--	--undefined--	64.41765072323392	
63	1959_m_Murtuzov_OM	ɡedu	кошка, геду	iso	2	initial	g	velar	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	e		0.08148453451039472	0.1557792571522043	--undefined--	0.01821809753609216	0	0.06326643697430256	65.79621838596006	65.87770292047045	65.85948482293436	--undefined--	--undefined--	65.87770292047045	
64	1959_m_Murtuzov_OM	ɡedu	кошка, геду	iso	2	medial	d	dental	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u	e	0.10904548000654302	0.28100181386301415	0.1557792571522043	0.017980721838355862	0	0.09106475816818715	66.03348217762266	66.1425276576292	66.12454693579085	--undefined--	--undefined--	66.1425276576292	
65	1959_m_Murtuzov_OM	ɡedu	кошка, геду	iso	3	initial	g	velar	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	e		0.10915863285818261	0.15883597918313797	--undefined--	0.026059282773616133	0	0.08309935008456648	67.44051051242894	67.54966914528713	67.52360986251351	--undefined--	--undefined--	67.54966914528713	
66	1959_m_Murtuzov_OM	ɡedu	кошка, геду	iso	3	medial	d	dental	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u	e	0.11681816422313318	0.29530422119266575	0.15883597918313797	0.02195242316099666	0	0.09486574106213652	67.70850512447026	67.8253232886934	67.8033708655324	--undefined--	--undefined--	67.8253232886934	
67	1959_m_Murtuzov_OM	ɡedu	кошка, геду	carrier	--undefined--	initial	g	velar	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	e		0.024491432252276013	0.11606809197816403	--undefined--	0.024491432252276013	0	0	69.85763765711799	69.88212908937027	69.85763765711799	--undefined--	--undefined--	69.88212908937027	
68	1959_m_Murtuzov_OM	ɡedu	кошка, геду	carrier	--undefined--	medial	d	dental	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u	e	0.10382237585201892	0.20939668557080893	0.11606809197816403	0.03462562932685387	0	0.06919674652516505	69.99819718134843	70.10201955720045	70.0673939278736	--undefined--	--undefined--	70.10201955720045	
69	1959_m_Murtuzov_OM	ɡoʔi	глухой, гоъи	iso	1	initial	g	velar	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	o		0.15933074122776247	0.18517819610454467	--undefined--	0.021312235257454404	0	0.13801850597030807	74.04235666395671	74.20168740518447	74.18037516992702	--undefined--	--undefined--	74.20168740518447	
70	1959_m_Murtuzov_OM	ɡoʔi	глухой, гоъи	iso	2	initial	g	velar	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	o		0.14324905857402825	0.20713493421395412	--undefined--	0.03214997903785388	0	0.11109907953617437	75.93931723974096	76.08256629831499	76.05041631927713	--undefined--	--undefined--	76.08256629831499	
71	1959_m_Murtuzov_OM	ɡoʔi	глухой, гоъи	iso	3	initial	g	velar	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	o		0.14125969226722646	0.17702162664828336	--undefined--	0.028466383121141803	0	0.11279330914608465	78.07327970603845	78.21453939830567	78.18607301518453	--undefined--	--undefined--	78.21453939830567	
72	1959_m_Murtuzov_OM	ɡoʔi	глухой, гоъи	carrier	--undefined--	initial	g	velar	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	o		0.022429458850680817	0.1659311925906337	--undefined--	0.022429458850680817	0	0	80.19539536186406	80.21782482071474	80.19539536186406	--undefined--	--undefined--	80.21782482071474	
73	1959_m_Murtuzov_OM	haq'u	дом, гьакъу	iso	1	medial	q'	uvular	singleton	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	u	a	0.22846388602437173	0.24008692170816914	0.13469930485047144	0.09328898549584608	0.06364681994463695	0.07152808058388871	84.29096024066799	84.51942412669236	84.36248832125187	84.45577730674772	84.51942412669236	84.56370442033523	
74	1959_m_Murtuzov_OM	haq'u	дом, гьакъу	iso	2	medial	q'	uvular	singleton	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	u	a	0.22159087088981266	0.28691115706121195	0.1513035994436649	0.08263157036792279	0.060960091171352815	0.07799920935053706	86.40770408425678	86.62929495514659	86.48570329360732	86.56833486397524	86.62929495514659	86.65200206124652	
