index	filename	word	translation	context	repetition	position	stop	poa	voice	geminate	affric	glott	pharlzd	labialzd	palatlzd	folVowel	prevVowel	totdur	folVowDur	prevVowDur	fric	postfric	closdur	tstart	tend	reltime	pfst	cvst	modst	comment
62	1959_m_Murtuzov_OM	ɡedu	кошка, геду	iso	1	medial	d	dental	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u	e	0.11173785310212736	0.2747973948869884	0.17393388842272373	0.020971798716615808	0	0.09076605438551155	64.30591287013179	64.41765072323392	64.3966789245173	--undefined--	--undefined--	64.41765072323392	
63	1959_m_Murtuzov_OM	ɡedu	кошка, геду	iso	2	initial	g	velar	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	e		0.08148453451039472	0.1557792571522043	--undefined--	0.01821809753609216	0	0.06326643697430256	65.79621838596006	65.87770292047045	65.85948482293436	--undefined--	--undefined--	65.87770292047045	
64	1959_m_Murtuzov_OM	ɡedu	кошка, геду	iso	2	medial	d	dental	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u	e	0.10904548000654302	0.28100181386301415	0.1557792571522043	0.017980721838355862	0	0.09106475816818715	66.03348217762266	66.1425276576292	66.12454693579085	--undefined--	--undefined--	66.1425276576292	
65	1959_m_Murtuzov_OM	ɡedu	кошка, геду	iso	3	initial	g	velar	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	e		0.10915863285818261	0.15883597918313797	--undefined--	0.026059282773616133	0	0.08309935008456648	67.44051051242894	67.54966914528713	67.52360986251351	--undefined--	--undefined--	67.54966914528713	
66	1959_m_Murtuzov_OM	ɡedu	кошка, геду	iso	3	medial	d	dental	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u	e	0.11681816422313318	0.29530422119266575	0.15883597918313797	0.02195242316099666	0	0.09486574106213652	67.70850512447026	67.8253232886934	67.8033708655324	--undefined--	--undefined--	67.8253232886934	
67	1959_m_Murtuzov_OM	ɡedu	кошка, геду	carrier	--undefined--	initial	g	velar	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	e		0.09549005480977257	0.11606809197816403	--undefined--	0.024491432252276013	0	0.07099862255749656	69.7866390345605	69.88212908937027	69.85763765711799	--undefined--	--undefined--	69.88212908937027	
68	1959_m_Murtuzov_OM	ɡedu	кошка, геду	carrier	--undefined--	medial	d	dental	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u	e	0.10382237585201892	0.20939668557080893	0.11606809197816403	0.03462562932685387	0	0.06919674652516505	69.99819718134843	70.10201955720045	70.0673939278736	--undefined--	--undefined--	70.10201955720045	
69	1959_m_Murtuzov_OM	ɡoʔi	глухой, гоъи	iso	1	initial	g	velar	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	o		0.15933074122776247	0.18517819610454467	--undefined--	0.021312235257454404	0	0.13801850597030807	74.04235666395671	74.20168740518447	74.18037516992702	--undefined--	--undefined--	74.20168740518447	
70	1959_m_Murtuzov_OM	ɡoʔi	глухой, гоъи	iso	2	initial	g	velar	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	o		0.14324905857402825	0.20713493421395412	--undefined--	0.03214997903785388	0	0.11109907953617437	75.93931723974096	76.08256629831499	76.05041631927713	--undefined--	--undefined--	76.08256629831499	
71	1959_m_Murtuzov_OM	ɡoʔi	глухой, гоъи	iso	3	initial	g	velar	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	o		0.14125969226722646	0.17702162664828336	--undefined--	0.028466383121141803	0	0.11279330914608465	78.07327970603845	78.21453939830567	78.18607301518453	--undefined--	--undefined--	78.21453939830567	
72	1959_m_Murtuzov_OM	ɡoʔi	глухой, гоъи	carrier	--undefined--	initial	g	velar	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	o		0.08131046930634511	0.1659311925906337	--undefined--	0.022429458850680817	0	0.058881010455664295	80.1365143514084	80.21782482071474	80.19539536186406	--undefined--	--undefined--	80.21782482071474	
